,,,"East West University
Offered Courses (Fall - 25)",


Course,Section,Faculty,Capacity,Timing
CSE345,2,ALI,0/30,T 04:50 PM - 06:50 PM
CSE345,2,ALI,0/30,MW 01:30 PM - 03:00 PM
CSE345,3,DTS,0/30,ST 10:10 AM - 11:40 AM
CSE345,3,DTS,0/30,W 10:10 AM - 12:10 PM
CSE345,4,MKN,0/30,M 01:30 PM - 03:30 PM
CSE345,4,MKN,0/30,ST 01:30 PM - 03:00 PM
CSE345,5,NISHAT,0/30,TR 08:30 AM - 10:00 AM
CSE345,5,NISHAT,0/30,T 10:10 AM - 12:10 PM

CSE345,6,NISHAT,0/30,R 10:10 AM - 11:40 AM
CSE345,6,NISHAT,0/30,M 08:00 AM - 10:00 AM
CSE345,6,NISHAT,0/30,S 10:10 AM - 11:40 AM
CSE345,7,TBA,0/30,SR 08:30 AM - 10:00 AM
CSE345,7,TBA,0/30,M 10:10 AM - 12:10 PM
CSE345,8,TBA,0/30,R 01:30 PM - 03:30 PM
CSE345,8,TBA,0/30,MW 04:50 PM - 06:20 PM
CSE347,1,SABBIR,0/30,SR 01:30 PM - 03:00 PM
CSE347,1,SABBIR,0/30,W 01:30 PM - 03:30 PM
CSE347,2,YS,0/30,M 04:50 PM - 06:50 PM
CSE347,2,YS,0/30,ST 04:50 PM - 06:20 PM
CSE347,3,ANIKA,0/30,SR 08:30 AM - 10:00 AM
CSE347,3,ANIKA,0/30,M 08:00 AM - 10:00 AM
CSE347,4,ANIKA,0/30,W 08:00 AM - 10:00 AM
CSE347,4,ANIKA,0/30,S 10:10 AM - 11:40 AM
CSE347,4,ANIKA,0/30,R 10:10 AM - 11:40 AM
CSE347,5,AUR,0/30,SR 04:50 PM - 06:20 PM
CSE347,5,AUR,0/30,T 04:50 PM - 06:50 PM
CSE347,6,SKL,0/30,TR 08:30 AM - 10:00 AM
CSE347,6,SKL,0/30,S 01:30 PM - 03:30 PM
CSE347,7,SKL,0/30,SR 10:10 AM - 11:40 AM
CSE347,7,SKL,0/30,M 08:00 AM - 10:00 AM
CSE347,8,TBA,0/30,R 11:20 AM - 01:20 PM
CSE347,8,TBA,0/30,S 01:30 PM - 03:00 PM

CSE347,8,TBA,0/30,R 01:30 PM - 03:00 PM
CSE347,9,TBA,0/30,TR 04:50 PM - 06:20 PM
CSE347,9,TBA,0/30,R 01:30 PM - 03:30 PM
CSE347,10,TBA,0/30,W 04:50 PM - 06:50 PM
CSE347,10,TBA,0/30,MW 08:30 AM - 10:00 AM
CSE350,1,KHALID,0/30,ST 04:50 PM - 06:20 PM
CSE350,1,KHALID,0/30,W 01:30 PM - 03:30 PM
CSE350,2,KHALID,0/30,R 04:50 PM - 06:50 PM
CSE350,2,KHALID,0/30,S 03:10 PM - 04:40 PM
CSE350,2,KHALID,0/30,R 03:10 PM - 04:40 PM
CSE360,1,NYA,0/40,ST 10:10 AM - 11:40 AM
CSE360,2,NYA,0/40,ST 01:30 PM - 03:00 PM
CSE360,3,SDIS,0/40,S 11:50 AM - 01:20 PM
CSE360,3,SDIS,0/40,T 11:50 AM - 01:20 PM
CSE360,4,FZRN,0/40,MW 03:10 PM - 04:40 PM
CSE360,5,MAMRD,0/40,TR 01:30 PM - 03:00 PM
CSE360,6,KMSK,0/40,TR 01:30 PM - 03:00 PM
CSE360,7,TBA,0/40,S 04:50 PM - 06:20 PM
CSE360,7,TBA,0/40,R 04:50 PM - 06:20 PM
CSE366,1,DRUI,0/30,SR 10:10 AM - 11:40 AM
CSE366,1,DRUI,0/30,M 01:30 PM - 03:30 PM
CSE366,2,TBA,0/30,T 08:00 AM - 10:00 AM
CSE366,2,DMGR,0/30,ST 10:10 AM - 11:40 AM
CSE366,3,DMGR,0/30,ST 11:50 AM - 01:20 PM

CSE366,3,TBA,0/30,S 08:00 AM - 10:00 AM
CSE366,4,IMRAN,0/30,W 04:50 PM - 06:50 PM
CSE366,4,IMRAN,0/30,ST 03:10 PM - 04:40 PM
CSE366,5,IMRAN,0/30,ST 04:50 PM - 06:20 PM
CSE366,5,IMRAN,0/30,M 04:50 PM - 06:50 PM
CSE366,6,TBA,0/30,T 10:10 AM - 12:10 PM
CSE366,6,TBA,0/30,SR 04:50 PM - 06:20 PM
CSE366,7,TBA,0/30,MW 04:50 PM - 06:20 PM
CSE366,7,TBA,0/30,R 01:30 PM - 03:30 PM
CSE400A,1,TBA,0/40,A 09:00 AM - 10:00 AM
CSE400B,1,TBA,0/40,A 09:00 AM - 10:00 AM
CSE400C,1,TBA,0/40,A 09:00 AM - 10:00 AM
CSE405,1,MAR,0/30,R 08:00 AM - 10:00 AM
CSE405,1,MAR,0/30,ST 08:30 AM - 10:00 AM
CSE405,2,MAR,0/30,ST 11:50 AM - 01:20 PM
CSE405,2,MAR,0/30,M 01:30 PM - 03:30 PM
CSE405,3,MAR,0/30,S 01:30 PM - 03:30 PM
CSE405,3,MAR,0/30,MW 08:30 AM - 10:00 AM
CSE405,4,FHUQ,0/30,TR 11:50 AM - 01:20 PM
CSE405,4,FHUQ,0/30,R 01:30 PM - 03:30 PM
CSE405,5,KHALID,0/30,T 01:30 PM - 03:30 PM
CSE405,5,KHALID,0/30,MW 04:50 PM - 06:20 PM
CSE405,6,RABEA,0/30,SR 08:30 AM - 10:00 AM
CSE405,6,RABEA,0/30,T 08:00 AM - 10:00 AM

CSE405,7,ARMAN,0/30,W 01:30 PM - 03:30 PM
CSE405,7,ARMAN,0/30,MW 04:50 PM - 06:20 PM
CSE405,8,TBA,0/30,S 08:30 AM - 10:00 AM
CSE405,8,TBA,0/30,S 01:30 PM - 03:00 PM
CSE405,8,TBA,0/30,T 08:30 AM - 10:00 AM
CSE405,9,TBA,0/30,TR 04:50 PM - 06:20 PM
CSE405,9,TBA,0/30,M 08:00 AM - 10:00 AM
CSE405,10,TBA,0/30,SR 04:50 PM - 06:20 PM
CSE405,10,TBA,0/30,S 04:50 PM - 06:50 PM
CSE406,1,DRUI,0/30,M 10:10 AM - 12:10 PM
CSE406,1,DRUI,0/30,ST 01:30 PM - 03:00 PM
CSE407,1,RDA,0/40,TR 10:10 AM - 11:40 AM
CSE407,2,AASR,0/40,SR 08:30 AM - 10:00 AM
CSE407,3,AMITM,0/40,SR 04:50 PM - 06:20 PM
CSE407,4,TBA,0/40,S 08:30 AM - 10:00 AM
CSE407,4,TBA,0/40,R 08:30 AM - 10:00 AM
CSE407,5,TBA,0/40,TR 04:50 PM - 06:20 PM
CSE407,6,TBA,0/40,S 08:30 AM - 10:00 AM
CSE407,6,TBA,0/40,R 08:30 AM - 10:00 AM
CSE412,1,DSHR,0/30,MW 10:10 AM - 11:40 AM
CSE412,1,DSHR,0/30,R 10:10 AM - 12:10 PM
CSE412,2,NTN,0/30,M 10:10 AM - 12:10 PM
CSE412,2,NTN,0/30,SR 04:50 PM - 06:20 PM
CSE412,3,NTN,0/30,S 11:50 AM - 01:20 PM

CSE412,3,NTN,0/30,W 10:10 AM - 12:10 PM
CSE412,3,NTN,0/30,R 11:50 AM - 01:20 PM
CSE412,4,YS,0/30,M 01:30 PM - 03:30 PM
CSE412,4,YS,0/30,SR 01:30 PM - 03:00 PM
CSE412,5,TBA,0/30,SR 10:10 AM - 11:40 AM
CSE412,5,TBA,0/30,R 01:30 PM - 03:30 PM
CSE420,1,DTBI,0/30,M 04:50 PM - 06:50 PM
CSE420,1,DTBI,0/30,SR 01:30 PM - 03:00 PM
CSE420,2,TBA,0/30,TR 04:50 PM - 06:20 PM
CSE420,2,TBA,0/30,W 04:50 PM - 06:50 PM
CSE428,1,YS,0/30,R 04:50 PM - 06:50 PM
CSE428,1,YS,0/30,TR 03:10 PM - 04:40 PM
CSE430,1,DSHR,0/30,MW 11:50 AM - 01:20 PM
CSE430,1,DSHR,0/30,R 08:00 AM - 10:00 AM
CSE430,2,SABBIR,0/30,T 04:50 PM - 06:50 PM
CSE430,2,SABBIR,0/30,MW 11:50 AM - 01:20 PM
CSE438,1,DAWR,0/30,MW 11:50 AM - 01:20 PM
CSE438,1,KMSK,0/30,S 01:30 PM - 03:30 PM
CSE438,2,MAMRD,0/30,M 01:30 PM - 03:30 PM
CSE438,2,DAWR,0/30,ST 11:50 AM - 01:20 PM
CSE438,3,MRAR,0/30,TR 03:10 PM - 04:40 PM
CSE438,3,MRAR,0/30,S 04:50 PM - 06:50 PM
CSE438,4,TBA,0/30,T 04:50 PM - 06:50 PM
CSE438,4,TBA,0/30,MW 04:50 PM - 06:20 PM

CSE453,1,TBA,0/30,MW 08:30 AM - 10:00 AM
CSE453,1,TBA,0/30,S 08:00 AM - 10:00 AM
CSE464,1,ANTU,0/30,W 04:50 PM - 06:50 PM
CSE464,1,ANTU,0/30,SR 04:50 PM - 06:20 PM
CSE475,1,MRAR,0/30,SR 01:30 PM - 03:00 PM
CSE475,1,MRAR,0/30,M 04:50 PM - 06:50 PM
CSE475,2,DRUI,0/30,W 10:10 AM - 12:10 PM
CSE475,2,DRUI,0/30,TR 11:50 AM - 01:20 PM
CSE475,3,MRAR,0/30,MW 03:10 PM - 04:40 PM
CSE475,3,MRAR,0/30,T 04:50 PM - 06:50 PM
CSE475,4,DMIM,0/30,M 10:10 AM - 12:10 PM
CSE475,4,DMIM,0/30,MW 08:30 AM - 10:00 AM
CSE475,5,ATIQ,0/30,SR 04:50 PM - 06:20 PM
CSE475,5,ATIQ,0/30,W 04:50 PM - 06:50 PM
CSE477,1,AMITM,0/30,M 10:10 AM - 12:10 PM
CSE477,1,AMITM,0/30,S 01:30 PM - 03:00 PM
CSE477,1,AMITM,0/30,R 01:30 PM - 03:00 PM
CSE477,2,AMITM,0/30,MW 08:30 AM - 10:00 AM
CSE477,2,AMITM,0/30,T 08:00 AM - 10:00 AM
CSE477,3,MAKB,0/30,M 04:50 PM - 06:50 PM
CSE477,3,MAKB,0/30,SR 11:50 AM - 01:20 PM
CSE479,1,ARMAN,0/30,SR 11:50 AM - 01:20 PM
CSE479,1,ARMAN,0/30,T 10:10 AM - 12:10 PM
CSE479,2,ARMAN,0/30,T 01:30 PM - 03:30 PM

CSE479,2,ARMAN,0/30,S 01:30 PM - 03:00 PM
CSE479,2,ARMAN,0/30,R 01:30 PM - 03:00 PM
CSE479,3,TBA,0/30,R 03:10 PM - 04:40 PM
CSE479,3,TBA,0/30,S 03:10 PM - 04:40 PM
CSE479,3,TBA,0/30,R 04:50 PM - 06:50 PM
CSE487,1,RAKIB,0/40,TR 08:30 AM - 10:00 AM
CSE487,2,RAKIB,0/40,T 10:10 AM - 11:40 AM
CSE487,2,RAKIB,0/40,R 10:10 AM - 11:40 AM
CSE487,3,MAHCY,0/40,ST 04:50 PM - 06:20 PM
CSE487,4,TBA,0/40,S 04:50 PM - 06:20 PM
CSE487,4,TBA,0/40,R 04:50 PM - 06:20 PM
CSE488,1,DMRH,0/30,S 01:30 PM - 03:30 PM
CSE488,1,DMRH,0/30,MW 01:30 PM - 03:00 PM
CSE489,1,MKR,0/30,ST 11:50 AM - 01:20 PM
CSE489,1,MKR,0/30,M 08:00 AM - 10:00 AM
CSE489,2,TBA,0/30,W 08:00 AM - 10:00 AM
CSE489,2,TBA,0/30,S 10:10 AM - 11:40 AM
CSE489,2,TBA,0/30,R 10:10 AM - 11:40 AM
CSE495,1,NTN,0/40,MW 08:30 AM - 10:00 AM
CSE495,2,DCR,0/40,ST 04:50 PM - 06:20 PM
CSE495,3,DCR,0/40,ST 06:30 PM - 08:00 PM
CSE495,4,TBA,0/40,S 04:50 PM - 06:20 PM
CSE495,4,TBA,0/40,R 04:50 PM - 06:20 PM
CSE497,1,TBA,0/40,A 09:00 AM - 10:00 AM

CSE504,1,DMSR,0/40,A 09:00 AM - 12:00 PM
CSE505,1,DMRH,0/40,T 06:30 PM - 09:30 PM
CSE520,1,TBA,0/40,T 06:30 PM - 09:30 PM
CSE523,1,TBA,0/40,S 06:30 PM - 09:30 PM
CSE526,1,TBA,0/40,M 06:30 PM - 09:30 PM
CSE527,1,TBA,0/40,W 06:30 PM - 09:30 PM
CSE550,1,TBA,0/40,M 06:30 PM - 09:30 PM
CSE555,1,TBA,0/40,W 06:30 PM - 09:30 PM
CSE556,1,TBA,0/40,R 06:30 PM - 09:30 PM
CSE597,1,TBA,0/40,A 09:00 AM - 10:00 AM
CSE599,1,TBA,0/40,A 09:00 AM - 10:00 AM
ETE496A,1,TBA,0/40,A 09:00 AM - 10:00 AM
ETE496B,1,TBA,0/40,A 09:00 AM - 10:00 AM
ETE496C,1,TBA,0/40,A 09:00 AM - 10:00 AM
ETE498,1,TBA,0/40,A 09:00 AM - 10:00 AM
ICE103,1,TJ,0/30,MW 01:30 PM - 03:00 PM
ICE103,1,TJ,0/30,S 03:10 PM - 06:10 PM
ICE103,2,TJ,0/30,MW 03:10 PM - 04:40 PM
ICE103,2,TJ,0/30,T 03:10 PM - 06:10 PM
ICE103,3,MI,0/30,MW 10:10 AM - 11:40 AM
ICE103,3,MI,0/30,S 10:10 AM - 01:10 PM
ICE103,4,MI,0/30,MW 11:50 AM - 01:20 PM
ICE103,4,MI,0/30,T 10:10 AM - 01:10 PM
ICE103,5,DAHF,0/30,R 04:50 PM - 07:50 PM

ICE103,5,DAHF,0/30,TR 01:30 PM - 03:00 PM
ICE103,6,DAHF,0/30,M 01:30 PM - 04:30 PM
ICE103,6,DAHF,0/30,SR 11:50 AM - 01:20 PM
ICE103,7,MAHCY,0/30,MW 08:30 AM - 10:00 AM
ICE103,7,MAHCY,0/30,T 01:30 PM - 04:30 PM
ICE103,8,RIFAT,0/30,M 10:10 AM - 01:10 PM
ICE103,8,RIFAT,0/30,TR 01:30 PM - 03:00 PM
ICE103,9,NISHAT,0/30,S 01:30 PM - 03:00 PM
ICE103,9,NISHAT,0/30,R 01:30 PM - 03:00 PM
ICE103,9,NISHAT,0/30,W 10:10 AM - 01:10 PM
ICE103,10,PC,0/30,ST 08:30 AM - 10:00 AM
ICE103,10,PC,0/30,R 08:00 AM - 11:00 AM
ICE103,11,PC,0/30,MW 04:50 PM - 06:20 PM
ICE103,11,PC,0/30,T 01:30 PM - 04:30 PM
ICE103,12,SAJEEB,0/30,ST 01:30 PM - 03:00 PM
ICE103,12,SAJEEB,0/30,S 04:50 PM - 07:50 PM
ICE103,13,SAJEEB,0/30,ST 03:10 PM - 04:40 PM
ICE103,13,SAJEEB,0/30,T 04:50 PM - 07:50 PM
ICE103,14,KMMU,0/30,S 04:50 PM - 07:50 PM
ICE103,14,KMMU,0/30,SR 01:30 PM - 03:00 PM
ICE103,15,KMMU,0/30,SR 03:10 PM - 04:40 PM
ICE103,15,KMMU,0/30,R 04:50 PM - 07:50 PM
ICE103,16,KMSK,0/30,ST 08:30 AM - 10:00 AM
ICE103,16,KMSK,0/30,R 08:00 AM - 11:00 AM

ICE103,17,MAMRD,0/30,SR 03:10 PM - 04:40 PM
ICE103,17,MAMRD,0/30,T 04:50 PM - 07:50 PM
ICE103,18,MIR,0/30,TR 04:50 PM - 06:20 PM
ICE103,18,MIR,0/30,W 08:00 AM - 11:00 AM
ICE103,19,TBA,0/30,M 08:00 AM - 10:00 AM
ICE103,19,TBA,0/30,S 08:30 AM - 10:00 AM
ICE103,19,TBA,0/30,T 08:30 AM - 10:00 AM
ICE103,20,TBA,0/30,T 10:10 AM - 11:40 AM
ICE103,20,TBA,0/30,W 08:00 AM - 10:00 AM
ICE103,20,TBA,0/30,R 10:10 AM - 11:40 AM
ICE103,21,TBA,0/30,TR 04:50 PM - 06:20 PM
ICE103,21,TBA,0/30,W 04:50 PM - 06:50 PM
ICE103,22,TBA,0/30,T 08:00 AM - 10:00 AM
ICE103,22,TBA,0/30,R 01:30 PM - 03:00 PM
ICE103,22,TBA,0/30,T 01:30 PM - 03:00 PM
ICE103,23,TBA,0/30,R 08:30 AM - 10:00 AM
ICE103,23,TBA,0/30,T 08:30 AM - 10:00 AM
ICE103,23,TBA,0/30,W 08:00 AM - 10:00 AM
ICE103,24,TBA,0/30,SR 04:50 PM - 06:20 PM
ICE103,24,TBA,0/30,R 04:50 PM - 06:50 PM
ICE103,25,TBA,0/30,SR 04:50 PM - 06:20 PM
ICE103,25,TBA,0/30,T 04:50 PM - 06:50 PM
ICE107,1,DAKP,0/30,MW 10:10 AM - 11:40 AM
ICE107,1,DAKP,0/30,S 08:00 AM - 11:00 AM

ICE107,2,DAKP,0/30,MW 11:50 AM - 01:20 PM
ICE107,2,DAKP,0/30,S 11:50 AM - 02:50 PM
ICE107,3,DSU,0/30,TR 03:10 PM - 04:40 PM
ICE107,3,DSU,0/30,W 10:10 AM - 01:10 PM
ICE107,4,DAHF,0/30,MW 11:50 AM - 01:20 PM
ICE107,4,DAHF,0/30,S 01:30 PM - 04:30 PM
ICE107,5,TM,0/30,MW 11:50 AM - 01:20 PM
ICE107,5,TM,0/30,S 10:10 AM - 01:10 PM
ICE107,6,SDIS,0/30,R 01:30 PM - 04:30 PM
ICE107,6,SDIS,0/30,R 10:10 AM - 11:40 AM
ICE107,6,SDIS,0/30,T 10:10 AM - 11:40 AM
ICE107,7,SDNA,0/30,T 03:10 PM - 04:40 PM
ICE107,7,SDNA,0/30,R 03:10 PM - 04:40 PM
ICE107,7,SDNA,0/30,R 04:50 PM - 06:50 PM
ICE107,8,SDNA,0/30,S 01:30 PM - 03:00 PM
ICE107,8,SDNA,0/30,R 01:30 PM - 03:00 PM
ICE107,8,SDNA,0/30,T 04:50 PM - 07:50 PM
ICE107,9,ARIJIT,0/30,S 04:50 PM - 07:50 PM
ICE107,9,ARIJIT,0/30,ST 03:10 PM - 04:40 PM
ICE107,10,SUDDIN,0/30,SR 03:10 PM - 04:40 PM
ICE107,10,SUDDIN,0/30,R 04:50 PM - 07:50 PM
ICE107,11,FZRN,0/30,S 03:10 PM - 04:40 PM
ICE107,11,FZRN,0/30,R 03:10 PM - 04:40 PM
ICE107,11,FZRN,0/30,T 10:10 AM - 01:10 PM

ICE107,12,FZRN,0/30,W 10:10 AM - 01:10 PM
ICE107,12,FZRN,0/30,SR 04:50 PM - 06:20 PM
ICE107,13,SABBIR,0/30,TR 03:10 PM - 04:40 PM
ICE107,13,SABBIR,0/30,S 04:50 PM - 07:50 PM
ICE107,14,TBA,0/30,M 08:00 AM - 10:00 AM
ICE107,14,TBA,0/30,S 08:30 AM - 10:00 AM
ICE107,14,TBA,0/30,T 08:30 AM - 10:00 AM
ICE107,15,TBA,0/30,W 08:00 AM - 10:00 AM
ICE107,15,TBA,0/30,R 04:50 PM - 06:20 PM
ICE107,15,TBA,0/30,T 04:50 PM - 06:20 PM
ICE107,16,TBA,0/30,S 08:00 AM - 10:00 AM
ICE107,16,TBA,0/30,R 04:50 PM - 06:20 PM
ICE107,16,TBA,0/30,T 04:50 PM - 06:20 PM
ICE107,17,TBA,0/30,T 08:00 AM - 10:00 AM
ICE107,17,TBA,0/30,R 04:50 PM - 06:20 PM
ICE107,17,TBA,0/30,T 04:50 PM - 06:20 PM
ICE107,18,TBA,0/30,R 08:30 AM - 10:00 AM
ICE107,18,TBA,0/30,T 08:30 AM - 10:00 AM
ICE107,18,TBA,0/30,W 08:00 AM - 10:00 AM
ICE107,19,TBA,0/30,R 10:10 AM - 11:40 AM
ICE107,19,TBA,0/30,T 10:10 AM - 11:40 AM
ICE107,19,TBA,0/30,S 08:00 AM - 10:00 AM
ICE107,20,TBA,0/30,R 04:50 PM - 06:20 PM
ICE107,20,TBA,0/30,R 08:00 AM - 10:00 AM

ICE107,20,TBA,0/30,T 04:50 PM - 06:20 PM
ICE109,1,SJ,0/30,MW 08:30 AM - 10:00 AM
ICE109,1,SJ,0/30,T 01:30 PM - 03:30 PM
ICE109,2,ALI,0/30,ST 01:30 PM - 03:00 PM
ICE109,2,ALI,0/30,R 01:30 PM - 03:30 PM
ICE109,3,SHK,0/30,M 04:50 PM - 06:50 PM
ICE109,3,SHK,0/30,TR 01:30 PM - 03:00 PM
ICE109,4,SHK,0/30,T 10:10 AM - 12:10 PM
ICE109,4,SHK,0/30,TR 03:10 PM - 04:40 PM
ICE109,5,MKN,0/30,MW 10:10 AM - 11:40 AM
ICE109,5,MKN,0/30,R 01:30 PM - 03:30 PM
ICE109,6,MKN,0/30,ST 10:10 AM - 11:40 AM
ICE109,6,MKN,0/30,R 10:10 AM - 12:10 PM
ICE109,7,DOF,0/30,T 04:50 PM - 06:50 PM
ICE109,7,DOF,0/30,TR 01:30 PM - 03:00 PM
ICE109,8,DOF,0/30,TR 03:10 PM - 04:40 PM
ICE109,8,DSMU,0/30,R 04:50 PM - 06:50 PM
ICE109,9,DSMU,0/30,M 04:50 PM - 06:50 PM
ICE109,9,DSMU,0/30,MW 01:30 PM - 03:00 PM
ICE109,10,DSMU,0/30,MW 03:10 PM - 04:40 PM
ICE109,10,DSMU,0/30,W 04:50 PM - 06:50 PM
ICE109,11,SAMIA,0/30,T 08:00 AM - 10:00 AM
ICE109,11,SAMIA,0/30,MW 08:30 AM - 10:00 AM
ICE109,12,SAMIA,0/30,M 01:30 PM - 03:30 PM

ICE109,12,SAMIA,0/30,MW 10:10 AM - 11:40 AM
ICE109,13,DMSA,0/30,S 08:00 AM - 10:00 AM
ICE109,13,DMSA,0/30,TR 10:10 AM - 11:40 AM
ICE109,14,TBA,0/30,M 08:00 AM - 10:00 AM
ICE109,14,TBA,0/30,SR 04:50 PM - 06:20 PM
ICE109,15,TBA,0/30,S 04:50 PM - 06:20 PM
ICE109,15,TBA,0/30,R 01:30 PM - 03:30 PM
ICE109,15,TBA,0/30,R 04:50 PM - 06:20 PM
ICE109,16,TBA,0/30,S 10:10 AM - 12:00 PM
ICE109,16,TBA,0/30,R 01:30 PM - 03:00 PM
ICE109,16,TBA,0/30,T 01:30 PM - 03:00 PM
ICE204,1,MHAK,0/40,ST 10:10 AM - 11:40 AM
ICE204,2,MHAK,0/40,ST 01:30 PM - 03:00 PM
ICE204,3,MHAK,0/40,MW 10:10 AM - 11:40 AM
ICE204,4,DSU,0/40,MW 03:10 PM - 04:40 PM
ICE204,5,NAFIS,0/40,MW 08:30 AM - 10:00 AM
ICE204,6,NAFIS,0/40,TR 08:30 AM - 10:00 AM
ICE204,7,AASR,0/40,MW 04:50 PM - 06:20 PM
ICE204,8,AASR,0/40,MW 03:10 PM - 04:40 PM
ICE204,9,MRJ,0/40,MW 01:30 PM - 03:00 PM
ICE204,10,SDNA,0/40,MW 04:50 PM - 06:20 PM
ICE204,11,MAHCY,0/40,MW 01:30 PM - 03:00 PM
ICE204,12,MAHCY,0/40,SR 03:10 PM - 04:40 PM
ICE204,13,MOON,0/40,MW 03:10 PM - 04:40 PM

ICE204,14,DMEI,0/40,MW 08:30 AM - 10:00 AM
ICE204,15,DMEI,0/40,MW 10:10 AM - 11:40 AM
ICE204,16,MIR,0/40,TR 01:30 PM - 03:00 PM
ICE204,17,TBA,0/40,S 08:30 AM - 10:00 AM
ICE204,17,TBA,0/40,R 08:30 AM - 10:00 AM
ICE204,18,TBA,0/40,R 10:10 AM - 11:40 AM
ICE204,18,TBA,0/40,T 10:10 AM - 11:40 AM
ICE204,19,TBA,0/40,S 04:50 PM - 06:20 PM
ICE204,19,TBA,0/40,R 04:50 PM - 06:20 PM
ICE204,20,TBA,0/40,R 03:10 PM - 04:40 PM
ICE204,20,TBA,0/40,T 03:10 PM - 04:40 PM
ICE207,1,MI,0/30,ST 08:30 AM - 10:00 AM
ICE207,1,MI,0/30,R 08:00 AM - 10:00 AM
ICE207,2,DAKP,0/30,R 01:30 PM - 03:30 PM
ICE207,2,DAKP,0/30,TR 11:50 AM - 01:20 PM
ICE207,3,ATIQ,0/30,MW 01:30 PM - 03:00 PM
ICE207,3,ATIQ,0/30,T 01:30 PM - 03:30 PM
ICE207,4,ATIQ,0/30,M 04:50 PM - 06:50 PM
ICE207,4,ATIQ,0/30,SR 03:10 PM - 04:40 PM
ICE207,5,DHMAI,0/30,TR 03:10 PM - 04:40 PM
ICE207,5,DHMAI,0/30,W 04:50 PM - 06:50 PM
ICE207,6,NAFIS,0/30,S 01:30 PM - 03:30 PM
ICE207,6,NAFIS,0/30,SR 11:50 AM - 01:20 PM
ICE207,7,TM,0/30,M 01:30 PM - 03:30 PM

ICE207,7,TM,0/30,TR 10:10 AM - 11:40 AM
ICE207,8,TM,0/30,TR 11:50 AM - 01:20 PM
ICE207,8,TM,0/30,W 01:30 PM - 03:30 PM
ICE207,9,AASR,0/30,T 10:10 AM - 11:40 AM
ICE207,9,AASR,0/30,S 10:10 AM - 12:10 PM
ICE207,9,AASR,0/30,R 10:10 AM - 11:40 AM
ICE207,10,MMLI,0/30,M 04:50 PM - 06:50 PM
ICE207,10,MMLI,0/30,MW 01:30 PM - 03:00 PM
ICE207,11,MMLI,0/30,MW 03:10 PM - 04:40 PM
ICE207,11,MMLI,0/30,W 04:50 PM - 06:50 PM
ICE207,12,PC,0/30,W 10:10 AM - 12:10 PM
ICE207,12,PC,0/30,MW 01:30 PM - 03:00 PM
ICE207,13,MIR,0/30,S 08:00 AM - 10:00 AM
ICE207,13,MIR,0/30,SR 11:50 AM - 01:20 PM
ICE207,14,MAKB,0/30,TR 01:30 PM - 03:00 PM
ICE207,14,MAKB,0/30,W 04:50 PM - 06:50 PM
ICE207,15,TBA,0/30,S 08:30 AM - 10:00 AM
ICE207,15,TBA,0/30,R 08:30 AM - 10:00 AM
ICE207,15,TBA,0/30,W 04:50 PM - 06:50 PM
ICE207,16,TBA,0/30,M 08:00 AM - 10:00 AM
ICE207,16,TBA,0/30,S 04:50 PM - 06:20 PM
ICE207,16,TBA,0/30,R 04:50 PM - 06:20 PM
ICE213,1,MHR,0/30,M 08:00 AM - 10:00 AM
ICE213,1,MHR,0/30,MW 10:10 AM - 11:40 AM

ICE213,2,MHR,0/30,MW 11:50 AM - 01:20 PM
ICE213,2,MHR,0/30,W 08:00 AM - 10:00 AM
ICE213,3,SJ,0/30,R 10:10 AM - 12:10 PM
ICE213,3,SJ,0/30,ST 10:10 AM - 11:40 AM
ICE213,4,SJ,0/30,M 10:10 AM - 12:10 PM
ICE213,4,SJ,0/30,ST 11:50 AM - 01:20 PM
ICE213,5,RDA,0/30,SR 01:30 PM - 03:00 PM
ICE213,5,RDA,0/30,W 10:10 AM - 12:10 PM
ICE213,6,RDA,0/30,SR 03:10 PM - 04:40 PM
ICE213,6,RDA,0/30,R 04:50 PM - 06:50 PM
ICE213,7,SHK,0/30,W 04:50 PM - 06:50 PM
ICE213,7,SHK,0/30,MW 03:10 PM - 04:40 PM
ICE213,8,PMSR,0/30,ST 01:30 PM - 03:00 PM
ICE213,8,TBA,0/30,W 01:30 PM - 03:30 PM
ICE213,9,TBA,0/30,M 10:10 AM - 12:10 PM
ICE213,9,PMSR,0/30,ST 03:10 PM - 04:40 PM
ICE213,10,"DIPAYA
N",0/30,R 04:50 PM - 06:50 PM
ICE213,10,"DIPAYA
N",0/30,MW 04:50 PM - 06:20 PM
ICE213,11,SJA,0/30,S 04:50 PM - 06:50 PM
ICE213,11,SJA,0/30,ST 01:30 PM - 03:00 PM
ICE213,12,SJA,0/30,T 04:50 PM - 06:50 PM
ICE213,12,SJA,0/30,ST 03:10 PM - 04:40 PM
ICE213,13,TBA,0/30,R 08:00 AM - 10:00 AM
ICE213,13,TBA,0/30,T 08:30 AM - 10:00 AM

ICE213,13,TBA,0/30,S 08:30 AM - 10:00 AM
ICE213,14,TBA,0/30,T 01:30 PM - 03:30 PM
ICE213,14,TBA,0/30,TR 04:50 PM - 06:20 PM
ICE213,15,TBA,0/30,M 01:30 PM - 03:30 PM
ICE213,15,TBA,0/30,S 08:30 AM - 10:00 AM
ICE213,15,TBA,0/30,R 08:30 AM - 10:00 AM
